id,name,activo,codigo,continente_id/id
__export__.radicado_web_pais_23_c255f320,DINAMARCA,1,208,__export__.radicado_web_continente_2_7dacdd4e
__export__.radicado_web_pais_24_94fa7ffa,ALEMANIA,1,276,__export__.radicado_web_continente_2_7dacdd4e
__export__.radicado_web_pais_25_7d33f8de,COSTA RICA,1,188,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_26_07a2a17c,ITALIA,1,380,__export__.radicado_web_continente_2_7dacdd4e
__export__.radicado_web_pais_27_30051460,CUBA,1,192,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_28_7103a549,ECUADOR,1,218,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_29_d153e2fb,CANADA,1,124,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_30_553abaf1,BRASIL,1,76,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_31_f74153b1,CHILE,1,152,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_32_8fbcee76,COLOMBIA,1,170,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_33_eed82877,ESPANA,1,724,__export__.radicado_web_continente_2_7dacdd4e
__export__.radicado_web_pais_34_d2943bcb,PANAMA,1,591,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_35_5b7e3dd2,MEXICO,1,484,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_36_0fffc59e,ESTADOS UNIDOS DE AMERICA,1,840,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_37_85090890,VENEZUELA,1,862,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_38_3dd6a8a7,BOLIVIA,1,68,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_39_5032dd2a,CHINA,1,156,__export__.radicado_web_continente_3_c34b6b63
__export__.radicado_web_pais_40_3e9a6565,REINO UNIDO,1,826,__export__.radicado_web_continente_2_7dacdd4e
__export__.radicado_web_pais_41_889f8704,HOLANDA,1,528,__export__.radicado_web_continente_2_7dacdd4e
__export__.radicado_web_pais_42_29500636,URUGUAY,1,300,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_43_34e72922,REPUBLICA DOMINICANA,1,647,__export__.radicado_web_continente_1_7353f543
__export__.radicado_web_pais_44_ca07840c,PERU,1,604,__export__.radicado_web_continente_1_7353f543
